 No    Mag        X         Y
 0080  11.35     25.67    -58.93
 0081  11.43    -43.31    -84.43
 0082  11.49     38.44     11.04
 0083  11.48     -1.94    -27.88
 0084  11.43    -18.43    -76.89
 0085  11.50     20.99    -50.26
 0086  11.54     13.95      2.20
 0087  11.42    -68.25    -71.57
 0088  11.60   -111.93    -41.11
 0089  11.54    -83.62     18.52
 0090  11.71   -117.96    -68.49
 0091  11.69     29.36    -11.56
 0092  11.76      2.51    -11.97
 0093  11.72    -27.67    -20.92
 0094  11.85    -51.42    -81.88
 0095  11.85     -5.84     24.97
 0096  11.89      0.21      5.63
 0097  11.95    -18.81    -21.99
 0098  11.99    -26.13     16.60
 0099  11.99     -2.60     11.43
 0100  12.02      3.19    -24.10
 0101  11.96    -88.34     17.72
 0102  12.10     -4.79    -11.34
 0103  12.09     -5.12     26.20
 0104  11.89    -98.43      5.82
 0105  12.15    -33.51    -22.26
 0106  12.10    -36.52     42.39
 0107  12.15     39.11      6.73
 0108  12.22   -116.78     14.95
 0109  12.19     16.88    -27.74
 0110  12.11    -14.04     29.03
 0111  12.27    -26.41     26.74
 0112  12.27     33.51     13.89
 0113  12.28     39.64     -3.32
 0114  14.00    -91.83      6.91
 0115  12.42     29.61     -6.64
 0116  12.41    -18.90     20.88
 0117  12.50   -109.13     36.37
 0118  12.62      6.87    -12.98
 0119  12.53    -39.81     -0.76
 0120  12.65      2.93     18.26
 0121  12.59      5.63     11.74
 0122  12.67     20.54      5.27
 0123  12.82     -0.07    -12.13
 0124  12.95    -11.05     -6.69
 0125  12.91     18.46      8.85
 0126  13.04     30.13     -4.87
 0127  13.13     15.15    -28.99
 0128  13.00      5.45     -8.93
 0129  13.22     21.88     10.75
 0130  12.81    -24.45    -25.59
 0131  13.23     -9.65      5.28
 0132  13.50     -6.71    -19.63
 0133  13.60    -17.88     27.34
 0134  14.00    -10.83      4.47
 0135  13.90      4.48     13.73
 0136  14.02    -10.93    -15.05
 0137  14.03    -24.71     19.68
 0138  12.91     -5.86     80.50
 0139  11.43     -4.24     73.25
 0140  11.75     -1.11     64.89
 0141  11.98      4.12     62.01
 0142  12.81      4.13    -21.79
 0143  13.40     19.00     63.12
 0144  10.80     30.51     61.59
 0145  11.41     43.28     56.73
 0146  12.01     48.81     60.05
 0147  10.56     44.29     63.47
 0148  11.12     54.57     67.42
 0149  12.03     59.14     59.59
 0150  12.89     74.01     24.15
 0151  11.41     65.16     50.48
 0152  14.00     57.58     52.73
 0154  11.76     30.82     41.76
 0155  11.54     35.79     46.71
 0156  11.60     39.87     53.78
 0157  11.42     37.19     54.47
 0158  13.70     32.69     56.52
 0159  11.69     29.66     55.02
 0160  12.52     18.92     62.03
 0161  13.22     10.44     61.04
 0162  12.82     21.23     44.57
 0163  11.62    -19.88    -91.48
 0164  14.00     -7.29     49.88
 0165  11.34    -14.79     37.50
 0166  12.47    -21.21     36.26
 0167  14.00    -35.65     34.98
 0168  14.00    -56.57     61.44
 0169  14.00    -61.87     39.84
 0170  14.00    -61.65     19.88
 0171  11.44    -69.14    -12.19
 0172  14.00    -53.47     -8.21
 0173  11.18    -47.63     -3.65
 0174  12.90    -46.98     50.93
 0175  12.38    -57.66      8.26
 0176  12.18    -48.30    -28.50
 0177  12.83    -29.47      5.44
 0178  14.00    -35.35     16.87
 0179  12.48    -48.08     18.34
 0180  14.00    -46.49     21.37
 0181  14.00    -41.44     21.85
 0182  12.97    -37.72     21.92
 0183  11.86     21.89     32.11
 0184  14.00     36.36     24.58
 0185  11.35     51.01     22.04
 0186  12.33     57.19      5.01
 0187  12.77     71.45      3.26
 0188  11.23     55.85     -3.42
 0189  11.38     68.82    -11.11
 0190  11.42     75.80    -12.28
 0191  11.21     63.39    -22.04
 0192  14.00     61.41    -24.10
 0193  12.74     59.36    -21.53
 0194  14.00     52.81    -16.25
 0195  11.62     50.83     -2.98
 0196  13.05     42.77     -0.75
 0197  11.04     41.72    -19.34
 0198  12.05      0.24     39.96
 0199  10.01    -15.01    -16.01
 0200  11.91    -48.83    -22.46
 0201  11.23    -15.25    -39.37
 0202  14.00    -12.82    -29.59
 0203  10.93      2.12    -47.69
 0204  12.46     -2.44    -49.78
 0205  11.76     36.52    -39.86
 0206  12.34     21.78    -34.53
 0207  11.85     24.98    -34.47
 0208  12.91     30.89    -32.39
 0209  12.47     34.73    -28.70
 0210  14.00     40.71    -24.30
 0211  14.00     34.12    -22.06
 0212  13.52     56.66    -34.84
 0213  11.11     65.46    -35.51
 0214  14.00     55.55    -47.87
 0215  12.38     82.84    -71.60
 0216  12.17     77.18    -70.89
 0217  12.39    -25.58    -51.42
 0218  12.60    -34.44    -58.42
 0219  11.06    -51.33     16.31
 1001  14.00    100.70   -101.78
 1002  14.00    104.01    -98.68
 1004  12.24    100.11    -67.11
 1005  14.00    101.76     41.60
 1006  14.00    101.55     59.77
 1007  11.03     84.86     85.33
 1008  11.08     88.32     76.00
 1009  11.70     83.52     73.65
 1010  11.08     85.39     52.34
 1012  13.04     84.65    -19.63
 1013  14.00     91.96    -45.19
 1014  13.01     87.41    -57.88
 1015  12.47     93.05    -64.18
 1017  11.92     94.34    -80.51
 1018  14.00     84.99    -79.91
 1019  11.37     93.91    -84.70
 1021  12.15     81.68    -17.80
 1023  14.00     80.65    -11.51
 1026  14.00     78.76     58.49
 1027  11.66     69.13     66.31
 1028  11.18     72.05     63.95
 1030  14.00     64.41     32.42
 1035  14.00     72.56    -95.08
 1037  14.00     53.74    -45.88
 1039  11.84     58.94    -28.93
 1043  12.74     55.07     -7.86
 1047  12.96     58.93      7.40
 1048  14.00     57.94     40.31
 1052  12.03     60.35     63.39
 1054  12.14     62.09     85.07
 1055  14.00     51.95     85.33
 1056  14.00     47.60     73.87
 1060  11.47     44.14     54.15
 1061  10.97     49.93     52.08
 1062  12.67     51.42     51.71
 1063  14.00     48.08     38.10
 1067  11.67     46.70    -60.67
 1068  14.00     42.78    -87.99
 1069  12.89     39.56    -76.98
 1093  14.00     30.94     17.41
 1103  14.00     27.84    -52.31
 1104  11.15     29.85    -54.03
 1106  12.54     27.46    -73.45
 1107  12.33     28.05    -93.75
 1108  14.00     26.86   -100.48
 1109  12.01     21.32    -78.76
 1112  14.00     20.17    -28.97
 1126  11.78     18.38     56.18
 1127  14.00      9.41     78.80
 1130  13.14      3.44     51.20
 1147  12.92     11.01    -73.92
 1148  14.00      3.23    -81.85
 1149  14.00      4.46    -83.38
 1150  12.23      7.54    -86.41
 1151  11.15     12.50    -89.18
 1152  11.90      0.85   -101.06
 1153  14.00     -1.55    -91.23
 1154  14.00     -4.45    -91.62
 1155  14.00      1.42    -48.28
 1165  13.01      0.00      0.00
 1175  11.96     -4.99     42.15
 1188  11.30    -15.21    -10.53
 1193  14.00     -9.37    -49.29
 1194  13.30    -16.15    -67.07
 1201  14.00    -24.58    -23.50
 1208  14.00    -20.03     33.28
 1227   9.73    -42.17    -15.74
 1230  13.23    -45.48     -8.27
 1232  14.00    -40.47     14.63
 1233  14.00    -35.35     16.87
 1240  14.00    -53.60     58.36
 1243  14.00    -47.97      5.09
 1244  14.00    -47.89     -2.41
 1246  12.10    -51.04     -2.27
 1251  13.28    -55.85    -40.24
 1252  11.00    -52.49    -67.81
 1253  12.76    -51.55    -69.67
 1255  13.30    -51.46    -87.62
 1256  14.00    -64.18    -49.30
 1257  13.03    -66.75    -47.01
 1258  14.00    -63.19    -32.71
 1262  14.00    -64.58     62.87
 1263  12.63    -75.34     74.89
 1264  14.00    -76.81     -0.66
 1266  14.00    -75.56    -18.79
 1267  11.22    -74.48    -37.50
 1268  14.00    -67.30    -42.92
 1269  10.33    -76.41    -46.04
 1270  11.15    -76.29    -48.76
 1272  14.00    -69.52    -76.70
 1273  11.48    -78.12   -100.73
 1274  14.00    -82.34    -61.38
 1275  14.00    -79.70    -30.41
 1276  14.00    -83.55     -9.02
 1280  12.77    -80.94     77.01
 1281  11.19    -95.04     67.11
 1284  12.26    -96.46    -42.87
 1285  14.00    -93.33    -76.92
 1286  14.00    -97.25    -86.10
 1287  12.65    -98.52    -31.21
 1288  14.00   -104.10    -31.23
 1289  12.30   -103.55    -29.54
 1293  11.32   -101.13     22.09
 1294  14.00    -98.19     52.50
 1295  14.00   -102.25     54.39
 1299  12.61   -117.11     12.02
 1300  14.00   -114.54     10.93
 1301  11.37   -111.09     -8.41
 1302  10.79   -116.14    -22.04
 1305  14.00   -110.08    -51.04
 1306  10.21   -123.70   -101.83
 1308  14.00   -122.98    -43.48
 1309  14.00   -119.12    -34.61
 1314   8.96   -128.47    -90.69
