id xcentroid ycentroid fwhm sharpness roundness pa npix sky peak flux mag
91 887.69 66.00 1.89 0.63 0.07 157.21 13 43.44 189.50 1168.51 -7.67
92 923.91 65.91 1.94 0.65 0.04 129.98 13 452.20 2265.50 13160.17 -10.30
93 453.84 66.64 1.91 0.64 0.12 105.43 12 30.44 180.33 946.76 -7.44
94 593.61 66.91 1.89 0.63 0.09 115.91 12 171.15 699.64 4218.42 -9.06
95 622.10 67.08 1.82 0.61 0.10 74.84 12 20.36 85.76 463.99 -6.67
96 962.93 67.10 1.95 0.65 0.04 132.40 13 35.09 177.14 1024.21 -7.53
97 145.79 68.00 1.97 0.66 0.03 78.17 12 974.24 3113.82 18805.66 -10.69
98 714.87 67.68 1.89 0.63 0.12 110.25 12 134.35 539.24 3156.64 -8.75
99 265.06 70.15 2.00 0.67 0.05 30.34 13 121.59 315.92 2128.34 -8.32
100 372.68 69.82 1.92 0.64 0.07 119.86 11 86.25 382.49 2189.37 -8.35
101 110.92 71.95 2.01 0.67 0.16 90.34 13 66.28 129.33 848.66 -7.32
102 876.87 73.60 1.86 0.62 0.11 127.60 12 150.99 680.01 3918.25 -8.98
103 317.88 74.73 1.98 0.66 0.09 158.52 12 47.20 136.47 896.48 -7.38
104 894.78 75.04 2.00 0.67 0.05 95.45 12 14.94 68.57 478.84 -6.70
105 991.39 76.16 1.90 0.63 0.07 138.48 12 80.15 313.81 2039.03 -8.27
106 583.98 76.66 1.85 0.62 0.17 89.02 11 14.05 77.59 409.09 -6.53
107 769.23 77.26 1.90 0.63 0.03 108.80 12 40.96 220.80 1395.65 -7.86
108 215.16 77.60 1.96 0.65 0.08 12.54 12 1705.91 5094.64 33601.29 -11.32
109 283.13 77.85 2.04 0.68 0.00 161.88 13 33.71 100.52 666.71 -7.06
110 951.10 77.60 1.87 0.62 0.03 51.48 12 72.66 365.89 2094.75 -8.30
111 146.74 79.30 1.89 0.63 0.15 47.94 11 94.95 221.55 1261.13 -7.75
112 573.92 78.89 1.92 0.64 0.07 76.75 13 801.55 4637.21 25726.34 -11.03
113 969.84 78.81 1.95 0.65 0.09 123.26 12 44.50 147.24 886.16 -7.37
114 93.79 79.91 1.96 0.65 0.02 144.93 11 161.73 471.47 2828.45 -8.63
115 941.70 82.20 1.91 0.64 0.03 46.73 13 68.21 212.65 1364.52 -7.84
116 194.95 83.63 2.02 0.67 0.15 94.63 13 45.98 92.72 568.11 -6.89
117 740.68 83.71 1.88 0.63 0.13 129.35 11 74.69 343.45 2052.07 -8.28
118 415.69 85.01 1.95 0.65 0.11 80.91 12 41.81 190.54 1098.71 -7.60
119 131.73 85.88 2.01 0.67 0.02 110.59 11 59.06 92.12 646.31 -7.03
120 39.78 87.86 1.98 0.66 0.18 82.26 11 52.47 73.77 473.23 -6.69
121 663.69 87.84 1.89 0.63 0.07 120.12 12 17.58 141.12 739.11 -7.17
122 213.98 88.96 2.00 0.67 0.01 64.43 13 558.90 1805.61 11399.81 -10.14
123 309.99 88.84 2.01 0.67 0.03 143.82 12 45.55 141.11 874.47 -7.35
124 471.72 89.92 1.90 0.63 0.07 126.31 12 24.56 142.89 820.18 -7.28
125 141.55 90.74 1.87 0.62 0.11 153.54 11 42.80 90.00 500.67 -6.75
126 797.01 90.71 1.91 0.64 0.04 104.74 12 141.90 719.76 4202.89 -9.06
127 13.81 91.98 1.95 0.65 0.10 177.40 11 39.70 78.82 494.59 -6.74
128 350.91 92.24 1.89 0.63 0.07 32.96 12 34.50 100.65 620.46 -6.98
129 100.05 93.00 2.06 0.69 0.17 99.37 13 51.86 117.37 820.56 -7.29
130 328.10 92.91 2.02 0.67 0.14 3.35 12 31.73 89.61 581.11 -6.91
131 493.88 92.44 1.84 0.61 0.11 152.92 11 18.75 71.00 395.13 -6.49
132 233.08 93.57 1.96 0.65 0.05 0.08 12 326.03 896.93 5952.72 -9.44
133 571.79 94.17 1.93 0.64 0.09 69.67 12 241.73 1262.34 7737.89 -9.72
134 706.08 93.72 1.91 0.64 0.07 73.24 12 104.63 480.89 2850.94 -8.64
135 758.96 93.96 1.96 0.65 0.14 87.42 13 26.39 151.79 932.20 -7.42
136 955.25 95.27 1.89 0.63 0.17 130.68 11 37.12 134.89 788.13 -7.24
137 586.05 96.53 1.80 0.60 0.08 66.62 12 5841.45 29821.57 163256.37 -13.03
138 308.06 98.14 2.03 0.68 0.10 7.52 13 45.54 132.70 868.22 -7.35
139 728.90 97.77 1.84 0.61 0.11 118.45 11 34.52 152.04 790.24 -7.24
140 990.20 98.14 1.95 0.65 0.08 148.90 12 102.12 398.78 2463.63 -8.48
141 559.65 99.11 1.95 0.65 0.09 75.91 12 106.43 356.03 2374.36 -8.44
142 930.09 99.16 1.97 0.66 0.08 101.71 12 7.95 76.69 480.83 -6.70
143 203.56 102.07 1.81 0.60 0.09 9.57 12 47.62 108.50 572.07 -6.89
144 277.05 101.58 1.91 0.64 0.05 9.72 12 358.32 1349.99 8136.32 -9.78
145 646.71 101.59 1.86 0.62 0.16 135.21 11 10.70 110.34 680.79 -7.08
146 719.93 102.21 1.95 0.65 0.11 84.10 13 44.83 186.68 1179.53 -7.68
147 867.79 101.93 1.91 0.64 0.07 127.66 13 407.12 2299.53 13346.90 -10.31
148 70.64 102.88 1.90 0.63 0.09 167.20 11 41.85 98.61 514.98 -6.78
149 29.71 104.01 1.85 0.62 0.16 123.82 11 39.09 57.98 279.78 -6.12
150 838.76 103.69 1.86 0.62 0.11 126.97 11 132.66 754.38 4254.76 -9.07
151 946.23 104.17 1.98 0.66 0.16 155.95 13 48.19 171.85 1090.05 -7.59
152 340.50 105.08 1.80 0.60 0.09 8.31 11 40.10 125.39 707.58 -7.12
153 455.69 104.53 1.79 0.60 0.13 123.69 11 129.70 463.76 2520.64 -8.50
154 661.14 104.84 1.90 0.63 0.07 64.07 13 307.16 1948.67 11024.02 -10.11
155 312.85 105.66 1.89 0.63 0.06 147.68 12 54.54 231.76 1203.50 -7.70
156 414.83 105.90 1.83 0.61 0.06 75.83 11 37.11 134.83 666.75 -7.06
157 565.58 105.82 1.85 0.62 0.14 118.37 11 121.86 436.98 2548.75 -8.52
158 745.11 105.63 1.90 0.63 0.10 92.36 11 3.17 55.76 375.70 -6.44
159 824.98 105.73 1.91 0.64 0.06 107.04 12 350.12 1711.92 9917.53 -9.99
160 861.09 108.76 1.88 0.63 0.02 87.56 12 41.83 268.45 1495.94 -7.94
161 896.16 109.23 1.92 0.64 0.10 125.30 13 83.23 331.85 2055.77 -8.28
162 971.95 109.23 1.92 0.64 0.09 96.21 12 27.34 66.54 403.25 -6.51
163 683.97 111.65 1.87 0.62 0.18 161.60 12 10.35 82.45 416.19 -6.55
164 794.05 112.04 1.97 0.66 0.02 133.46 13 7.92 89.65 584.51 -6.92
165 56.63 113.08 1.87 0.62 0.19 80.51 10 40.35 64.92 370.83 -6.42
166 596.01 113.25 2.00 0.67 0.10 69.57 13 0.91 73.21 435.35 -6.60
167 675.98 113.07 2.02 0.67 0.06 89.24 13 10.75 107.49 654.46 -7.04
168 927.80 113.20 1.79 0.60 0.08 152.25 11 14.20 77.32 450.64 -6.63
169 383.83 113.82 1.97 0.66 0.07 102.62 11 15.49 65.95 389.39 -6.48
170 574.07 113.64 1.87 0.62 0.07 80.73 12 49.55 292.63 1685.16 -8.07
171 422.93 114.61 1.85 0.62 0.06 115.59 11 32.75 118.91 648.18 -7.03
172 784.44 114.97 1.83 0.61 0.18 84.37 12 12.29 74.65 408.50 -6.53
173 31.96 116.38 1.83 0.61 0.11 56.54 11 73.90 119.04 709.02 -7.13
174 485.72 115.92 1.96 0.65 0.09 105.99 12 86.47 304.89 1910.72 -8.20
175 583.83 116.26 1.87 0.62 0.11 61.12 12 35.95 179.36 1017.56 -7.52
176 804.33 117.31 1.85 0.62 0.09 129.56 12 334.63 1519.32 9235.55 -9.91
177 309.77 117.88 1.92 0.64 0.04 143.97 11 48.76 168.15 940.72 -7.43
178 624.88 118.23 1.91 0.64 0.03 116.27 13 2.14 73.06 381.56 -6.45
179 73.03 119.24 1.97 0.66 0.06 69.88 13 874.37 1918.21 12965.99 -10.28
180 271.74 119.26 1.84 0.61 0.14 38.19 12 61.55 212.79 1179.65 -7.68
181 441.14 119.74 1.93 0.64 0.11 1.21 12 11.51 73.60 429.43 -6.58
182 662.27 119.76 1.91 0.64 0.10 49.84 12 17.10 75.86 471.82 -6.68
183 44.05 121.23 1.88 0.63 0.14 40.82 12 37.63 57.87 320.53 -6.26
184 317.68 121.89 1.87 0.62 0.19 175.28 11 56.09 79.03 459.67 -6.66
185 754.73 122.04 1.89 0.63 0.04 89.22 12 111.56 695.76 3940.65 -8.99
186 301.15 123.76 1.85 0.62 0.17 106.46 11 47.12 81.41 418.74 -6.55
187 395.85 124.57 1.84 0.61 0.05 128.11 11 1342.40 6370.99 34582.35 -11.35
188 463.02 124.84 1.96 0.65 0.16 94.30 11 5.75 67.67 456.54 -6.65
189 745.70 124.77 1.87 0.62 0.09 129.90 11 56.94 357.34 2064.15 -8.29
190 776.12 124.94 1.92 0.64 0.04 69.20 13 59.44 460.98 2562.74 -8.52
191 204.19 126.14 1.97 0.66 0.07 163.35 13 82.18 99.68 677.60 -7.08
192 589.53 126.92 1.83 0.61 0.04 88.77 12 73.86 259.93 1436.33 -7.89
193 858.32 127.19 1.83 0.61 0.11 176.13 11 5.44 74.01 424.24 -6.57
194 930.33 127.18 1.92 0.64 0.07 129.35 12 185.76 861.29 5512.57 -9.35
195 870.34 127.57 1.80 0.60 0.13 45.05 11 210.82 1008.23 5852.25 -9.42
196 188.76 128.97 2.03 0.68 0.17 80.76 12 51.12 122.23 754.73 -7.19
197 507.90 128.77 1.93 0.64 0.07 103.55 11 35.34 176.65 1023.08 -7.52
198 705.14 129.06 1.93 0.64 0.09 74.65 13 19.93 196.23 1184.51 -7.68
199 367.61 129.86 1.86 0.62 0.09 111.32 11 37.56 181.54 1033.36 -7.54
200 729.87 130.19 1.92 0.64 0.09 86.91 13 22.20 132.20 799.85 -7.26
201 106.42 131.01 1.78 0.59 0.05 30.46 10 132.49 344.14 1939.66 -8.22
202 380.88 130.68 1.97 0.66 0.09 112.60 12 61.25 224.47 1318.42 -7.80
203 553.59 131.15 1.82 0.61 0.08 43.04 12 69.68 354.61 1976.43 -8.24
204 965.27 130.90 1.89 0.63 0.04 178.18 11 105.36 545.79 3058.70 -8.71
205 415.19 133.04 2.00 0.67 0.08 16.52 13 79.35 202.93 1357.33 -7.83
206 956.85 132.96 1.95 0.65 0.04 97.76 13 165.95 696.76 4123.96 -9.04
207 431.72 133.82 1.89 0.63 0.08 87.66 11 277.32 1081.34 5936.70 -9.43
208 817.22 133.94 1.73 0.58 0.01 97.50 11 5.03 67.22 299.78 -6.19
209 921.35 133.78 1.87 0.62 0.07 36.97 11 99.34 557.63 3233.40 -8.77
210 214.85 135.96 1.98 0.66 0.02 72.33 13 184.10 540.43 3227.58 -8.77
211 608.82 135.78 1.91 0.64 0.09 118.43 11 86.56 388.93 2257.84 -8.38
212 796.31 135.82 1.86 0.62 0.07 51.52 11 622.91 3837.39 21541.26 -10.83
213 871.67 135.80 1.87 0.62 0.10 132.80 12 71.37 367.19 2202.47 -8.36
214 38.00 136.79 2.03 0.68 0.09 136.51 12 36.31 87.28 579.95 -6.91
215 464.67 137.14 1.90 0.63 0.09 62.30 12 41.42 189.71 1121.72 -7.62
216 144.80 138.29 1.83 0.61 0.16 26.73 11 81.31 136.14 819.97 -7.28
217 621.07 138.22 1.92 0.64 0.06 73.42 13 226.26 1335.69 8030.34 -9.76
218 638.79 138.06 2.00 0.67 0.10 166.19 13 39.93 140.19 931.37 -7.42
219 899.71 139.11 1.88 0.63 0.01 155.91 13 176.01 910.38 5452.79 -9.34
220 117.46 139.81 1.82 0.61 0.16 125.44 11 42.09 80.39 428.69 -6.58
221 365.74 140.65 1.85 0.62 0.09 159.13 12 21.03 116.02 602.52 -6.95
222 767.32 140.70 1.82 0.61 0.18 35.24 11 25.68 76.08 394.30 -6.49
223 182.63 141.80 1.89 0.63 0.10 135.93 11 92.53 315.85 1727.24 -8.09
224 201.09 141.63 1.98 0.66 0.11 21.84 12 48.85 98.15 641.11 -7.02
225 999.33 141.84 1.88 0.63 0.17 168.77 11 20.15 100.24 549.59 -6.85
226 803.63 143.77 1.86 0.62 0.20 122.95 11 13.15 90.90 525.04 -6.80
227 748.71 144.63 1.80 0.60 0.16 120.48 11 22.59 165.75 933.09 -7.42
228 950.98 146.24 1.85 0.62 0.05 171.51 12 17.41 75.63 441.32 -6.61
229 775.33 146.69 1.84 0.61 0.11 48.35 11 16.90 140.71 796.28 -7.25
230 873.85 147.10 1.93 0.64 0.03 136.48 13 140.00 757.80 4412.27 -9.11
231 979.76 146.63 1.89 0.63 0.13 131.46 11 43.52 133.97 775.79 -7.22
232 373.86 149.16 1.93 0.64 0.19 80.50 12 54.29 157.15 904.87 -7.39
233 427.58 148.66 1.81 0.60 0.15 131.48 11 1164.21 5254.26 28251.80 -11.13
234 524.94 149.07 2.02 0.67 0.12 70.48 13 7.50 76.96 505.35 -6.76
235 660.86 149.13 1.95 0.65 0.07 79.65 13 171.89 913.66 5700.22 -9.39
236 448.62 151.20 1.85 0.62 0.09 44.54 12 42.34 212.74 1203.12 -7.70
237 923.83 152.29 1.91 0.64 0.09 9.03 12 9.66 102.62 626.50 -6.99
238 347.26 152.90 1.89 0.63 0.02 131.75 11 16.16 82.20 505.99 -6.76
239 746.04 153.26 1.85 0.62 0.06 84.54 13 45.59 245.56 1382.95 -7.85
240 194.61 153.93 1.92 0.64 0.02 153.50 12 78.14 236.04 1429.77 -7.89
241 714.11 153.76 1.87 0.62 0.04 92.50 11 23.88 166.79 922.17 -7.41
242 910.73 154.11 1.89 0.63 0.03 117.65 13 238.62 1289.80 7781.65 -9.73
243 963.47 154.11 1.80 0.60 0.15 166.72 11 27.26 132.36 730.54 -7.16
244 122.66 155.05 1.97 0.66 0.12 84.60 12 39.26 56.88 384.19 -6.46
245 179.02 154.82 2.04 0.68 0.08 171.62 12 40.08 85.77 554.98 -6.86
246 279.35 155.04 1.71 0.57 0.09 51.11 10 35.99 128.61 693.75 -7.10
247 832.13 154.65 1.80 0.60 0.13 113.60 12 4.08 87.75 437.75 -6.60
248 140.80 156.70 1.95 0.65 0.07 149.53 12 55.25 132.92 812.31 -7.27
249 255.59 156.88 1.85 0.62 0.06 117.53 12 55.09 175.98 962.35 -7.46
250 548.31 157.38 1.74 0.58 0.15 125.84 10 10.60 71.10 352.50 -6.37
251 652.00 157.68 1.85 0.62 0.04 65.83 12 717.57 5067.50 26622.15 -11.06
252 812.04 157.79 1.89 0.63 0.03 8.17 12 34.23 269.69 1456.63 -7.91
253 271.18 159.12 1.99 0.66 0.05 60.20 13 87.63 176.68 1194.12 -7.69
254 234.56 160.03 1.81 0.60 0.04 56.77 12 61.56 165.10 853.44 -7.33
255 476.03 159.62 1.89 0.63 0.02 79.01 11 3.13 72.35 395.91 -6.49
256 413.81 161.14 1.95 0.65 0.12 29.89 13 47.70 189.19 1065.21 -7.57
257 897.36 161.18 1.91 0.64 0.12 122.62 12 26.51 179.58 1157.22 -7.66
258 280.73 162.93 1.90 0.63 0.04 142.91 12 57.73 151.42 912.55 -7.40
259 44.98 163.54 1.92 0.64 0.10 134.88 11 40.59 80.22 483.07 -6.71
260 33.72 165.10 1.91 0.64 0.18 18.44 13 65.55 132.90 833.47 -7.30
261 145.57 165.30 1.82 0.61 0.20 46.63 10 146.13 368.97 2129.60 -8.32
262 802.36 165.04 1.85 0.62 0.06 160.51 12 16.58 100.31 598.76 -6.94
263 885.29 165.05 1.82 0.61 0.08 133.04 11 5.93 96.58 516.39 -6.78
264 178.72 166.64 1.92 0.64 0.15 136.95 12 64.27 163.81 971.83 -7.47
265 744.84 167.03 2.01 0.67 0.07 88.81 13 45.19 234.75 1609.12 -8.02
266 497.16 169.04 1.91 0.64 0.14 81.98 12 8.80 70.79 389.16 -6.48
267 812.12 169.15 1.91 0.64 0.04 108.31 13 1561.50 10582.99 61177.40 -11.97
268 292.05 170.33 1.82 0.61 0.08 81.30 11 29.42 67.99 381.05 -6.45
269 622.25 169.63 1.83 0.61 0.14 53.36 11 38.70 205.10 1198.40 -7.70
270 835.16 170.23 1.93 0.64 0.07 150.65 13 104.58 601.10 3673.41 -8.91
271 459.68 170.77 1.86 0.62 0.07 130.34 11 123.58 693.24 3756.98 -8.94
272 870.06 170.68 1.85 0.62 0.06 81.12 11 3.15 69.88 359.16 -6.39
273 331.84 172.02 1.95 0.65 0.13 43.13 11 32.80 80.28 505.23 -6.76
274 679.20 172.16 1.90 0.63 0.05 84.08 13 925.94 5805.45 34595.02 -11.35
275 931.23 171.68 1.98 0.66 0.13 54.92 12 5.42 81.68 503.81 -6.76
276 442.73 173.61 1.94 0.65 0.09 118.80 11 26.52 96.29 584.27 -6.92
277 695.60 175.81 1.82 0.61 0.09 130.72 11 2148.43 13042.42 72288.84 -12.15
278 139.63 176.89 1.89 0.63 0.03 113.62 11 99.96 221.68 1211.84 -7.71
279 348.90 176.76 1.95 0.65 0.06 174.39 12 70.75 375.65 2145.78 -8.33
280 21.99 177.92 2.02 0.67 0.05 73.87 13 325.19 610.28 4262.86 -9.07
281 321.91 177.55 1.88 0.63 0.07 127.25 12 37.12 113.43 602.42 -6.95
282 482.18 177.96 2.01 0.67 0.08 44.43 13 15.34 138.81 922.11 -7.41
283 1006.34 177.86 1.87 0.62 0.00 53.39 11 22.71 126.01 720.80 -7.14
284 493.73 178.69 1.82 0.61 0.20 137.30 11 10.50 109.33 590.00 -6.93
285 509.76 179.28 1.88 0.63 0.12 52.13 12 904.44 5101.68 29360.92 -11.17
286 196.95 180.09 1.92 0.64 0.08 79.15 13 38.34 91.60 541.30 -6.83
287 401.91 180.95 1.94 0.65 0.04 37.92 13 1097.40 5913.35 33098.23 -11.30
288 786.18 181.04 1.90 0.63 0.02 90.34 13 824.96 5878.81 32901.01 -11.29
289 870.66 180.96 1.85 0.62 0.06 149.78 12 106.88 683.30 3880.90 -8.97
290 718.92 183.24 1.89 0.63 0.02 43.15 13 85.78 689.67 3990.97 -9.00
291 767.72 182.92 1.86 0.62 0.04 172.63 11 2.71 123.59 639.40 -7.01
292 831.39 182.73 1.82 0.61 0.10 45.21 11 113.60 680.52 3839.94 -8.96
293 127.77 183.89 1.93 0.64 0.03 159.42 11 1274.18 4298.55 25092.95 -11.00
294 414.50 183.85 1.85 0.62 0.18 122.86 10 126.69 339.63 2001.34 -8.25
295 642.11 183.97 1.97 0.66 0.09 173.55 13 9.35 100.59 598.53 -6.94
296 523.96 185.04 1.99 0.66 0.12 10.22 12 26.06 67.07 458.32 -6.65
297 879.37 184.79 1.83 0.61 0.05 48.07 11 69.32 429.96 2386.36 -8.44
298 283.49 185.99 1.84 0.61 0.06 91.57 11 30.57 86.43 488.67 -6.72
299 331.25 186.07 2.03 0.68 0.09 30.19 13 44.27 130.79 866.94 -7.34
300 363.83 185.59 1.89 0.63 0.09 120.63 11 275.94 910.43 5091.61 -9.27
301 157.66 188.06 1.96 0.65 0.13 65.20 12 45.54 117.92 657.60 -7.04
302 305.80 187.83 2.03 0.68 0.08 159.15 12 27.68 135.97 859.71 -7.34
303 340.26 188.56 1.86 0.62 0.11 52.55 11 24.62 112.05 678.01 -7.08
304 659.98 188.91 1.89 0.63 0.09 68.85 13 21.36 228.47 1209.67 -7.71
305 573.62 189.71 1.79 0.60 0.10 128.91 11 125.64 717.19 3813.73 -8.95
