id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
70 17.96 34.99 0.68 -0.12 -0.51 25 0.00 1237.00 1.55 -0.48
71 61.33 34.90 0.49 0.12 -0.15 25 0.00 888.00 1.62 -0.53
72 570.91 35.48 0.57 -0.50 0.01 25 0.00 1075.00 1.90 -0.70
73 614.52 35.02 0.59 -0.26 -0.24 25 0.00 3123.00 5.18 -1.79
74 911.94 35.42 0.54 -0.05 0.07 25 0.00 1757.00 2.92 -1.16
75 979.13 35.15 0.49 -0.35 -0.04 25 0.00 851.00 1.34 -0.31
76 45.90 36.09 0.61 -0.06 0.03 25 0.00 10003.00 17.38 -3.10
77 205.18 35.63 0.64 -0.25 0.27 25 0.00 918.00 1.57 -0.49
78 131.54 37.10 0.55 -0.26 0.10 25 0.00 993.00 1.72 -0.59
79 211.92 37.24 0.60 -0.10 0.07 25 0.00 559.00 1.13 -0.13
80 407.43 38.14 0.62 -0.34 -0.21 25 0.00 1111.00 2.04 -0.77
81 695.16 37.75 0.54 0.06 -0.07 25 0.00 759.00 1.35 -0.33
82 84.22 38.84 0.61 -0.07 0.10 25 0.00 1106.00 1.88 -0.69
83 251.40 38.43 0.50 -0.61 0.03 25 0.00 730.00 1.65 -0.54
84 714.41 39.09 0.63 -0.45 -0.10 25 0.00 621.00 1.04 -0.04
85 893.05 38.70 0.46 0.31 -0.18 25 0.00 608.00 1.12 -0.13
86 300.23 39.93 0.60 -0.11 -0.04 25 0.00 7136.00 12.37 -2.73
87 357.19 39.90 0.61 -0.18 -0.03 25 0.00 9966.00 17.30 -3.09
88 771.32 39.91 0.54 -0.13 -0.12 25 0.00 9544.00 16.30 -3.03
89 886.84 39.61 0.55 -0.75 -0.27 25 0.00 6285.00 10.41 -2.54
90 178.47 41.41 0.57 0.36 0.02 25 0.00 3577.00 6.35 -2.01
91 722.13 41.57 0.75 -0.31 -0.12 25 0.00 773.00 1.09 -0.10
92 64.48 42.34 0.48 -0.39 0.10 25 0.00 629.00 1.16 -0.16
93 1007.47 42.12 0.62 0.46 0.01 25 0.00 747.00 1.08 -0.08
94 153.45 42.72 0.58 0.29 -0.17 25 0.00 801.00 1.41 -0.37
95 364.74 43.42 0.58 -0.55 0.01 25 0.00 4912.00 8.72 -2.35
96 390.08 43.36 0.66 -0.17 -0.17 25 0.00 754.00 1.30 -0.29
97 518.16 43.15 0.58 -0.37 -0.13 25 0.00 768.00 1.45 -0.40
98 666.78 42.76 0.54 -0.47 -0.24 25 0.00 5617.00 9.48 -2.44
99 708.23 43.09 0.58 -0.49 -0.43 25 0.00 702.00 1.19 -0.19
100 935.32 42.73 0.56 -0.09 -0.04 25 0.00 4598.00 7.33 -2.16
101 35.32 44.27 0.52 -0.49 -0.02 25 0.00 999.00 1.95 -0.73
102 309.38 44.03 0.62 -0.06 -0.07 25 0.00 55511.00 94.72 -4.94
103 713.86 43.95 0.51 -0.49 -0.10 25 0.00 1378.00 2.51 -1.00
104 187.90 45.21 0.72 -0.26 -0.01 25 0.00 804.00 1.42 -0.38
105 847.64 45.31 0.66 -0.81 -0.84 25 0.00 883.00 1.08 -0.09
106 363.12 45.75 0.65 -0.39 -0.10 25 0.00 1763.00 2.73 -1.09
107 395.73 46.38 0.59 -0.64 -0.14 25 0.00 1019.00 1.60 -0.51
108 851.45 46.00 0.56 -0.17 -0.36 25 0.00 1500.00 2.36 -0.93
109 931.52 45.93 0.58 0.07 -0.22 25 0.00 667.00 1.09 -0.09
110 12.36 47.00 0.57 -0.08 -0.00 25 0.00 705.00 1.41 -0.37
111 264.09 46.67 0.58 -0.22 -0.13 25 0.00 928.00 1.75 -0.61
112 315.77 46.96 0.82 -0.67 -0.32 25 0.00 789.00 1.16 -0.16
113 489.49 46.77 0.56 -0.32 -0.12 25 0.00 63652.00 108.62 -5.09
114 335.76 47.91 0.60 -0.52 -0.27 25 0.00 2042.00 3.67 -1.41
115 443.99 47.59 0.61 0.33 0.01 25 0.00 951.00 1.59 -0.50
116 36.69 48.65 0.62 -0.45 0.00 25 0.00 2787.00 4.56 -1.65
117 356.00 49.17 0.58 -0.06 -0.01 25 0.00 34330.00 60.40 -4.45
118 722.46 49.20 0.61 -0.16 -0.16 25 0.00 1873.00 3.24 -1.28
119 757.98 49.98 0.70 -0.13 -0.39 25 0.00 700.00 1.06 -0.06
120 36.05 49.80 0.58 -0.99 0.63 25 0.00 1117.00 1.77 -0.62
121 656.80 50.83 0.56 -0.20 -0.05 25 0.00 994.00 1.78 -0.62
122 617.15 52.21 0.61 -0.09 -0.02 25 0.00 3111.00 5.14 -1.78
123 622.34 52.42 0.60 0.18 -0.21 25 0.00 889.00 1.49 -0.43
124 76.84 52.53 0.42 -0.37 -0.26 25 0.00 549.00 1.14 -0.14
125 218.76 52.90 0.56 0.07 -0.00 25 0.00 46910.00 84.03 -4.81
126 235.90 52.86 0.66 -0.19 0.12 25 0.00 1226.00 2.22 -0.87
127 344.52 52.89 0.69 -0.25 0.04 25 0.00 614.00 1.00 -0.01
128 386.59 52.90 0.59 -0.54 -0.21 25 0.00 1537.00 2.61 -1.04
129 390.46 53.44 0.61 0.30 -0.28 25 0.00 2372.00 3.66 -1.41
130 599.02 52.68 0.60 -0.27 -0.04 25 0.00 2190.00 3.78 -1.44
131 798.80 53.01 0.56 -0.17 -0.04 25 0.00 875.00 1.48 -0.43
132 265.84 55.21 0.58 -0.76 -0.18 25 0.00 1536.00 2.72 -1.09
133 277.03 54.91 0.73 0.17 0.19 25 0.00 636.00 1.01 -0.01
134 143.92 56.38 0.57 0.17 0.22 25 0.00 1340.00 2.48 -0.99
135 476.49 57.58 0.50 -0.42 0.12 25 0.00 607.00 1.09 -0.09
136 515.81 56.89 0.58 -0.03 -0.15 25 0.00 3976.00 6.58 -2.05
137 646.82 57.12 0.42 -0.12 -0.23 25 0.00 711.00 1.32 -0.30
138 689.81 56.63 0.54 -0.65 -0.25 25 0.00 7003.00 11.66 -2.67
139 462.37 57.65 0.69 -0.55 -0.06 25 0.00 1143.00 1.85 -0.67
140 519.08 57.57 0.54 -0.37 -0.40 25 0.00 1215.00 1.80 -0.64
141 71.03 58.63 0.65 -0.05 0.12 25 0.00 5389.00 9.32 -2.42
142 311.30 59.32 0.59 0.00 0.08 25 0.00 1169.00 2.16 -0.84
143 599.48 59.03 0.49 -0.20 -0.06 25 0.00 541.00 1.01 -0.01
144 159.85 59.78 0.58 0.14 0.05 25 0.00 31406.00 55.86 -4.37
145 280.90 60.45 0.61 -0.21 0.12 25 0.00 4066.00 7.01 -2.11
146 386.93 61.25 0.59 -0.78 0.06 25 0.00 680.00 1.26 -0.25
147 439.64 60.85 0.50 -0.28 -0.04 25 0.00 820.00 1.42 -0.38
148 711.55 60.45 0.46 0.30 -0.05 25 0.00 1265.00 2.16 -0.84
149 750.74 60.75 0.48 0.33 -0.20 25 0.00 555.00 1.10 -0.10
150 339.06 61.76 0.59 -0.15 0.09 25 0.00 3630.00 6.37 -2.01
151 550.60 61.53 0.50 0.36 0.00 25 0.00 5758.00 9.79 -2.48
152 182.21 63.26 0.58 -0.79 -0.60 25 0.00 628.00 1.14 -0.14
153 221.53 62.95 0.67 -0.27 -0.09 25 0.00 1593.00 2.63 -1.05
154 399.66 62.92 0.51 0.10 -0.21 25 0.00 569.00 1.12 -0.12
155 781.80 62.96 0.46 -0.54 -0.27 25 0.00 532.00 1.02 -0.03
156 154.55 63.68 0.64 0.16 -0.08 25 0.00 852.00 1.31 -0.29
157 330.61 64.00 0.66 -0.42 0.12 25 0.00 1056.00 1.70 -0.58
158 658.06 64.58 0.53 -0.53 -0.02 25 0.00 1163.00 2.08 -0.80
159 68.35 65.29 0.67 0.26 0.02 25 0.00 992.00 1.68 -0.56
160 184.57 65.03 0.61 -0.66 -0.43 25 0.00 2205.00 3.69 -1.42
161 196.74 65.44 0.60 -0.39 0.17 25 0.00 809.00 1.43 -0.38
162 437.26 65.26 0.69 0.28 0.17 25 0.00 713.00 1.14 -0.14
163 504.68 64.98 0.61 -0.46 -0.08 25 0.00 1016.00 1.81 -0.65
164 923.33 65.48 0.56 0.14 -0.02 25 0.00 20695.00 33.12 -3.80
165 389.54 65.45 0.45 0.48 0.04 25 0.00 2728.00 5.06 -1.76
166 453.31 66.08 0.65 -0.33 -0.18 25 0.00 1939.00 3.37 -1.32
167 697.73 65.58 0.57 -0.78 -0.26 25 0.00 1659.00 2.74 -1.09
168 887.60 65.72 0.56 -0.30 -0.18 25 0.00 1918.00 3.21 -1.26
169 144.57 67.46 0.58 -0.51 0.01 25 0.00 62641.00 108.90 -5.09
170 593.28 66.54 0.56 -0.45 0.01 25 0.00 7250.00 12.89 -2.78
171 621.88 66.84 0.38 -0.09 -0.03 25 0.00 828.00 1.74 -0.60
172 714.80 67.22 0.53 -0.56 -0.09 25 0.00 4562.00 8.17 -2.28
173 962.81 66.83 0.51 -0.35 -0.26 25 0.00 1260.00 2.07 -0.79
174 327.97 67.68 0.67 -0.04 0.24 25 0.00 629.00 1.08 -0.09
175 996.36 68.02 0.66 0.19 -0.06 25 0.00 840.00 1.20 -0.19
176 371.96 69.31 0.62 -0.21 0.06 25 0.00 5958.00 10.28 -2.53
177 264.36 69.76 0.62 -0.40 -0.03 25 0.00 6264.00 10.92 -2.60
178 689.00 70.08 0.54 -0.35 -0.19 25 0.00 1110.00 2.01 -0.76
179 432.33 70.97 0.72 -0.25 -0.15 25 0.00 669.00 1.11 -0.11
180 59.23 72.25 0.78 0.12 0.15 25 0.00 808.00 1.24 -0.23
181 109.75 71.43 0.54 0.55 0.14 25 0.00 2764.00 4.82 -1.71
182 92.31 72.70 0.65 -0.20 0.04 25 0.00 2339.00 4.05 -1.52
183 876.75 73.26 0.49 -0.26 -0.17 25 0.00 6685.00 10.85 -2.59
184 962.83 73.05 0.57 -0.91 -0.83 25 0.00 742.00 1.03 -0.03
185 52.98 73.59 0.70 -0.15 0.32 25 0.00 1894.00 2.83 -1.13
186 317.27 74.15 0.67 -0.25 0.00 25 0.00 2547.00 4.40 -1.61
187 391.31 73.47 0.58 -0.44 0.19 25 0.00 1697.00 2.94 -1.17
188 186.17 75.00 0.60 -0.53 -0.12 25 0.00 1279.00 2.20 -0.86
189 324.98 74.90 0.61 -0.31 0.12 25 0.00 677.00 1.27 -0.26
190 583.80 76.34 0.57 -0.30 -0.22 25 0.00 633.00 1.07 -0.08
191 672.08 76.54 0.50 -0.34 0.09 25 0.00 649.00 1.23 -0.22
192 991.56 75.92 0.57 -0.12 -0.15 25 0.00 2936.00 4.66 -1.67
193 214.39 76.82 0.62 -0.31 -0.04 25 0.00 122546.00 214.99 -5.83
194 282.61 77.36 0.60 0.11 -0.17 25 0.00 1668.00 2.93 -1.17
195 769.19 77.17 0.57 -0.17 -0.08 25 0.00 2487.00 4.12 -1.54
196 951.09 77.18 0.52 0.09 -0.06 25 0.00 3355.00 5.60 -1.87
197 18.90 78.02 0.71 0.25 -0.18 25 0.00 1587.00 2.42 -0.96
198 53.37 77.54 0.60 -0.69 0.07 25 0.00 1663.00 2.81 -1.12
199 182.88 77.46 0.50 0.34 0.39 25 0.00 642.00 1.21 -0.20
200 249.01 78.38 0.66 0.24 0.11 25 0.00 1063.00 1.71 -0.58
201 969.71 78.31 0.41 0.42 0.01 25 0.00 1033.00 1.82 -0.65
202 92.50 79.33 0.62 0.28 -0.06 25 0.00 10150.00 17.25 -3.09
203 101.42 79.02 0.72 0.33 -0.23 25 0.00 578.00 1.05 -0.05
204 145.50 78.82 0.61 -0.38 -0.10 25 0.00 4614.00 8.16 -2.28
205 158.71 79.13 0.53 0.05 0.17 25 0.00 885.00 1.56 -0.48
206 573.71 78.60 0.52 -0.53 -0.16 25 0.00 46112.00 77.48 -4.72
207 85.76 80.80 0.54 -0.58 0.19 25 0.00 1262.00 1.95 -0.72
208 251.12 79.21 0.63 0.68 -0.50 25 0.00 689.00 1.07 -0.07
209 271.28 80.51 0.71 0.38 0.02 25 0.00 958.00 1.47 -0.41
210 932.95 80.16 0.54 -0.54 -0.10 25 0.00 912.00 1.58 -0.50
211 210.53 79.83 0.56 0.95 -0.00 25 0.00 737.00 1.09 -0.10
212 262.21 81.34 0.54 -0.02 -0.09 25 0.00 1834.00 3.14 -1.24
213 411.06 80.42 0.51 -0.17 -0.72 25 0.00 892.00 1.24 -0.23
214 315.67 82.62 0.44 0.71 0.24 25 0.00 612.00 1.19 -0.19
215 877.55 81.54 0.74 -0.79 -0.22 25 0.00 843.00 1.22 -0.21
216 941.72 82.02 0.58 -0.28 -0.40 25 0.00 2221.00 3.35 -1.31
217 194.01 83.26 0.64 0.15 0.15 25 0.00 2191.00 3.68 -1.42
218 345.81 83.11 0.55 0.22 -0.05 25 0.00 782.00 1.53 -0.47
219 740.57 83.37 0.57 -0.17 -0.28 25 0.00 2923.00 4.72 -1.68
220 143.95 84.16 0.73 0.19 0.09 25 0.00 1419.00 2.35 -0.93
221 317.45 84.15 0.53 0.40 0.02 25 0.00 653.00 1.20 -0.20
222 938.13 83.36 0.53 -0.15 -0.28 25 0.00 828.00 1.28 -0.27
223 130.47 85.45 0.55 0.06 0.14 25 0.00 1892.00 3.30 -1.30
224 415.02 84.57 0.55 -0.05 0.14 25 0.00 2726.00 4.83 -1.71
225 436.27 84.68 0.60 0.03 0.12 25 0.00 964.00 1.64 -0.54
226 464.42 85.01 0.58 -0.69 -0.20 25 0.00 759.00 1.38 -0.35
227 79.13 85.60 0.60 0.01 0.16 25 0.00 1833.00 3.34 -1.31
228 224.39 86.09 0.64 -0.41 -0.19 25 0.00 1428.00 2.47 -0.98
229 38.29 87.30 0.76 -0.46 0.19 25 0.00 1276.00 1.84 -0.66
230 105.15 87.10 0.59 0.53 0.48 25 0.00 1555.00 2.59 -1.04
231 213.09 88.51 0.63 0.01 0.15 25 0.00 37920.00 65.02 -4.53
232 272.90 88.11 0.70 -0.07 0.12 25 0.00 1132.00 1.92 -0.71
233 309.23 88.33 0.66 0.10 0.10 25 0.00 2296.00 3.87 -1.47
234 663.49 87.69 0.60 -0.30 -0.15 25 0.00 1263.00 2.07 -0.79
235 955.75 88.12 0.49 -0.03 -0.14 25 0.00 895.00 1.53 -0.46
236 68.74 88.77 0.65 -0.07 -0.05 25 0.00 1937.00 3.39 -1.33
237 737.15 89.64 0.52 0.05 0.29 25 0.00 669.00 1.31 -0.29
238 140.33 89.91 0.69 -0.30 -0.06 25 0.00 2043.00 3.41 -1.33
239 167.32 89.59 0.56 -0.45 0.15 25 0.00 1203.00 2.31 -0.91
240 263.52 90.57 0.55 -0.03 0.02 25 0.00 1545.00 2.84 -1.14
241 471.12 89.59 0.58 -0.25 0.04 25 0.00 1778.00 3.05 -1.21
242 797.08 90.43 0.56 -0.24 -0.01 25 0.00 5822.00 9.90 -2.49
243 12.23 91.41 0.68 0.13 0.23 25 0.00 1658.00 2.70 -1.08
244 98.84 92.30 0.67 -0.35 0.02 25 0.00 2783.00 4.78 -1.70
245 227.11 91.84 0.62 -0.55 0.04 25 0.00 934.00 1.47 -0.42
246 327.61 92.41 0.64 -0.73 -0.02 25 0.00 1369.00 2.32 -0.92
247 350.11 91.92 0.64 -0.08 0.03 25 0.00 1656.00 2.89 -1.15
248 493.51 91.90 0.59 -0.70 -0.32 25 0.00 821.00 1.48 -0.42
249 50.48 92.60 0.65 -0.32 0.07 25 0.00 661.00 1.24 -0.23
250 232.28 92.86 0.67 -0.33 -0.04 25 0.00 19200.00 33.21 -3.80
251 265.47 93.08 0.62 0.04 -0.04 25 0.00 1462.00 2.44 -0.97
252 706.09 93.40 0.58 -0.28 0.01 25 0.00 4192.00 7.25 -2.15
253 769.34 92.94 0.56 -0.39 -0.28 25 0.00 768.00 1.51 -0.45
254 30.39 94.35 0.64 0.48 0.10 25 0.00 625.00 1.10 -0.10
255 571.45 93.99 0.57 -0.19 -0.16 25 0.00 15881.00 27.23 -3.59
256 758.93 93.77 0.57 -0.12 -0.18 25 0.00 1493.00 2.40 -0.95
257 34.60 94.26 0.47 0.57 0.22 25 0.00 634.00 1.32 -0.30
258 355.63 95.16 0.63 -0.09 -0.34 25 0.00 641.00 1.22 -0.21
259 955.29 95.12 0.60 0.17 -0.17 25 0.00 1132.00 1.88 -0.68
260 347.98 96.16 0.62 -0.20 0.13 25 0.00 1777.00 3.02 -1.20
261 585.72 96.17 0.49 -0.16 -0.08 25 0.00 336039.00 579.62 -6.91
262 123.92 97.38 0.54 -0.12 0.01 25 0.00 543.00 1.07 -0.08
263 127.89 98.42 0.65 0.69 0.27 25 0.00 949.00 1.54 -0.47
264 307.47 97.80 0.62 -0.65 -0.19 25 0.00 2399.00 4.18 -1.55
265 728.66 97.47 0.43 0.12 -0.21 25 0.00 1287.00 2.19 -0.85
266 793.29 97.89 0.68 0.23 -0.06 25 0.00 662.00 1.05 -0.06
267 990.04 97.85 0.54 0.21 0.00 25 0.00 3678.00 6.01 -1.95
268 559.27 98.86 0.61 -0.30 -0.05 25 0.00 4278.00 7.37 -2.17
269 99.05 99.54 0.60 -0.09 0.23 25 0.00 2135.00 3.82 -1.45
270 414.22 100.77 0.66 -0.55 0.43 25 0.00 794.00 1.17 -0.17
271 202.28 101.38 0.63 0.04 -0.03 25 0.00 1971.00 3.45 -1.34
272 276.24 100.99 0.63 -0.10 -0.04 25 0.00 28394.00 48.90 -4.22
273 427.77 101.18 0.59 -0.44 0.07 25 0.00 705.00 1.11 -0.11
274 69.09 102.23 0.68 -0.22 0.03 25 0.00 2298.00 3.84 -1.46
275 155.32 101.77 0.65 -0.16 0.01 25 0.00 1153.00 1.97 -0.74
276 196.22 102.37 0.64 0.04 0.06 25 0.00 2304.00 3.89 -1.47
277 646.58 101.40 0.55 -0.84 0.10 25 0.00 908.00 1.68 -0.57
278 719.69 102.01 0.51 -0.32 -0.15 25 0.00 1687.00 3.16 -1.25
279 867.70 101.71 0.48 0.18 -0.11 25 0.00 18124.00 30.00 -3.69
280 28.30 103.38 0.68 0.09 0.12 25 0.00 1392.00 2.21 -0.86
281 62.37 102.93 0.65 0.05 -0.11 25 0.00 1218.00 2.09 -0.80
282 204.08 103.10 0.68 0.56 -0.46 25 0.00 727.00 1.05 -0.05
283 838.77 103.50 0.54 0.28 -0.20 25 0.00 6085.00 9.67 -2.46
284 265.64 104.24 0.58 -0.20 -0.30 25 0.00 727.00 1.27 -0.26
285 454.99 103.97 0.61 -0.17 -0.04 25 0.00 7705.00 13.05 -2.79
286 946.29 103.91 0.50 -0.45 0.10 25 0.00 1271.00 2.26 -0.88
287 247.71 105.55 0.45 -0.04 0.07 25 0.00 688.00 1.22 -0.21
288 312.16 105.08 0.63 -0.21 -0.02 25 0.00 4110.00 7.26 -2.15
289 339.74 104.70 0.57 -0.08 0.04 25 0.00 1882.00 3.39 -1.33
290 414.32 105.44 0.60 -0.05 0.00 25 0.00 1780.00 3.02 -1.20
291 565.18 105.52 0.58 -0.11 0.10 25 0.00 4896.00 8.56 -2.33
292 660.99 104.56 0.51 0.04 0.06 25 0.00 18504.00 32.21 -3.77
293 825.05 105.47 0.56 -0.28 -0.02 25 0.00 12320.00 20.73 -3.29
294 452.31 105.97 0.58 0.51 -0.40 25 0.00 1128.00 1.71 -0.58
295 26.88 106.51 0.55 0.42 0.08 25 0.00 569.00 1.02 -0.02
296 95.15 107.95 0.64 -0.45 -0.07 25 0.00 1287.00 2.22 -0.86
297 654.39 107.97 0.62 -0.03 -0.23 25 0.00 827.00 1.43 -0.39
298 861.20 108.45 0.60 -0.21 -0.05 25 0.00 2023.00 3.20 -1.26
299 416.79 108.69 0.67 -0.09 -0.21 25 0.00 685.00 1.19 -0.19
300 896.06 109.19 0.54 -0.37 -0.12 25 0.00 3359.00 5.68 -1.89
301 314.22 110.25 0.55 -0.63 -0.01 25 0.00 1293.00 2.39 -0.95
302 370.59 109.94 0.55 0.50 -0.13 25 0.00 498.00 1.02 -0.02
303 74.25 110.97 0.70 0.06 0.00 25 0.00 2854.00 4.72 -1.69
304 169.04 111.41 0.73 -0.03 0.04 25 0.00 1058.00 1.71 -0.58
305 395.24 111.33 0.65 -0.90 -0.16 25 0.00 1081.00 1.68 -0.56
306 683.65 111.73 0.43 0.52 0.13 25 0.00 610.00 1.16 -0.16
307 793.94 111.83 0.49 -0.38 -0.08 25 0.00 621.00 1.12 -0.12
308 55.20 112.22 0.53 0.36 0.40 25 0.00 1235.00 2.27 -0.89
309 146.41 113.38 0.58 0.21 0.17 25 0.00 1202.00 2.13 -0.82
310 383.20 113.58 0.67 -0.28 -0.00 25 0.00 805.00 1.26 -0.25
311 573.34 113.24 0.60 -0.09 -0.09 25 0.00 3388.00 5.81 -1.91
312 595.92 112.96 0.57 -0.22 -0.39 25 0.00 636.00 1.08 -0.08
313 675.71 112.85 0.52 -0.88 -0.20 25 0.00 979.00 1.75 -0.61
314 422.42 114.22 0.62 -0.13 -0.13 25 0.00 1389.00 2.44 -0.97
315 739.92 114.18 0.55 -0.44 0.02 25 0.00 590.00 1.14 -0.14
316 240.49 115.46 0.50 -0.48 -0.02 25 0.00 713.00 1.47 -0.42
317 784.91 114.89 0.59 -0.65 -0.44 25 0.00 669.00 1.24 -0.23
318 30.40 116.02 0.61 -0.09 -0.09 25 0.00 3025.00 5.49 -1.85
319 485.22 115.52 0.59 -0.49 0.11 25 0.00 3606.00 6.18 -1.98
320 583.56 116.09 0.59 -0.06 -0.22 25 0.00 2058.00 3.59 -1.39
321 308.99 117.54 0.61 -0.19 0.16 25 0.00 2551.00 4.56 -1.65
322 366.81 117.02 0.66 -0.57 0.04 25 0.00 851.00 1.41 -0.38
323 804.42 117.29 0.56 -0.01 -0.15 25 0.00 16924.00 27.87 -3.61
324 71.78 118.85 0.58 0.12 0.02 25 0.00 60743.00 108.50 -5.09
