id xcentroid ycentroid fwhm sharpness roundness pa npix sky peak flux mag
28 385.07 24.26 1.72 0.57 0.17 129.85 12 113.17 1617.83 6889.00 -9.60
29 56.76 25.09 1.92 0.64 0.02 8.33 13 4.83 367.17 2015.17 -8.26
30 114.08 24.94 1.85 0.62 0.13 34.13 12 118.92 740.08 3461.00 -8.85
31 308.14 25.23 1.73 0.58 0.12 127.28 12 52.50 1395.50 5799.00 -9.41
32 785.60 25.11 1.73 0.58 0.14 127.87 11 245.92 1224.08 5873.92 -9.42
33 909.04 25.21 1.75 0.58 0.03 59.88 13 160.33 767.67 3504.67 -8.86
34 983.17 26.02 1.88 0.63 0.10 167.83 11 100.33 427.67 1941.33 -8.22
35 280.14 26.89 1.85 0.62 0.04 109.16 12 152.42 2292.58 10540.00 -10.06
36 70.62 28.30 1.68 0.56 0.14 79.37 11 122.17 650.83 3378.17 -8.82
37 137.31 28.17 1.64 0.55 0.08 98.63 12 79.58 977.42 3951.00 -8.99
38 629.08 28.59 1.71 0.57 0.10 108.17 11 107.08 692.92 3137.08 -8.74
39 145.59 30.27 1.62 0.54 0.07 136.88 11 121.00 1353.00 5662.00 -9.38
40 939.98 30.24 1.86 0.62 0.12 127.84 13 158.75 808.25 3857.25 -8.97
41 363.23 30.99 2.03 0.68 0.19 100.37 12 -7.17 531.17 2921.00 -8.66
42 495.33 30.63 1.64 0.55 0.06 3.85 10 64.17 480.83 2092.33 -8.30
43 34.86 32.23 1.70 0.57 0.15 86.53 12 303.83 2649.17 10323.00 -10.03
44 88.31 32.26 1.77 0.59 0.13 142.04 12 104.00 987.00 4116.00 -9.04
45 375.03 32.34 1.69 0.56 0.11 138.01 12 219.50 2750.50 11836.00 -10.18
46 961.01 32.03 1.87 0.62 0.05 178.89 13 2922.92 16806.08 83289.08 -12.30
47 14.38 33.19 1.66 0.55 0.07 151.75 12 330.17 1784.83 7105.00 -9.63
48 235.04 33.84 1.79 0.60 0.15 96.63 12 59.83 1141.17 4811.00 -9.21
49 346.39 33.75 1.63 0.54 0.04 139.12 11 1167.75 13667.25 59457.75 -11.94
50 445.41 33.68 1.68 0.56 0.02 36.33 11 245.42 1774.58 9484.42 -9.94
51 732.14 33.76 1.98 0.66 0.09 59.86 13 46.17 525.83 2874.83 -8.65
52 920.36 33.95 1.83 0.61 0.12 83.37 12 198.00 932.00 4662.00 -9.17
53 988.98 34.25 1.82 0.61 0.08 157.14 12 212.83 1258.17 5912.00 -9.43
54 61.55 34.93 1.71 0.57 0.05 89.74 11 125.58 897.42 4034.58 -9.01
55 570.92 35.39 1.82 0.61 0.18 144.18 12 37.58 1037.42 5274.00 -9.31
56 614.37 35.01 1.75 0.58 0.11 165.28 12 341.25 2781.75 12884.00 -10.28
57 911.93 35.33 1.75 0.58 0.02 126.20 12 294.17 1462.83 7086.00 -9.63
58 979.12 35.14 1.88 0.63 0.12 137.88 12 191.08 659.92 3639.00 -8.90
59 45.92 36.08 1.76 0.59 0.04 85.75 13 833.08 9169.92 38359.92 -11.46
60 131.40 37.03 1.75 0.58 0.19 93.60 12 107.42 885.58 4347.00 -9.10
61 330.97 37.36 1.85 0.62 0.12 125.47 12 9.00 544.00 2828.00 -8.63
62 407.31 38.12 1.72 0.57 0.14 140.48 11 40.83 1070.17 4467.83 -9.13
63 695.08 37.78 1.92 0.64 0.08 14.70 12 30.33 728.67 3950.00 -8.99
64 84.22 38.89 1.62 0.54 0.05 51.04 10 183.75 922.25 3488.50 -8.86
65 251.29 38.61 1.60 0.53 0.06 3.06 10 11.83 776.17 3376.67 -8.82
66 300.19 39.96 1.77 0.59 0.02 123.29 12 585.08 6550.92 28518.00 -11.14
67 357.16 39.92 1.76 0.59 0.02 125.99 13 799.00 9167.00 39091.00 -11.48
68 771.24 39.93 1.82 0.61 0.08 3.42 12 1197.00 8347.00 41825.00 -11.55
69 886.52 39.72 1.64 0.55 0.12 23.72 10 975.83 5309.17 26615.67 -11.06
70 178.35 41.32 1.70 0.57 0.12 126.85 11 314.83 3262.17 15417.83 -10.47
71 376.76 41.18 1.79 0.60 0.06 65.78 12 26.33 600.67 2433.00 -8.47
72 153.59 42.77 1.74 0.58 0.12 165.00 12 43.83 796.17 3687.00 -8.92
73 196.45 43.20 1.76 0.59 0.16 156.10 11 -26.33 441.33 2234.67 -8.37
74 281.19 43.08 1.92 0.64 0.04 5.32 12 4.58 377.42 1610.00 -8.02
75 518.13 43.13 1.82 0.61 0.08 176.25 12 1.17 766.83 3531.00 -8.87
76 583.97 42.87 1.81 0.60 0.18 98.64 11 -21.00 324.00 1671.00 -8.06
77 609.23 43.04 1.85 0.62 0.14 118.02 11 -37.50 467.50 2115.50 -8.31
78 666.50 42.81 1.70 0.57 0.09 23.60 11 773.67 4843.33 25029.67 -11.00
79 935.23 42.78 1.81 0.60 0.11 29.30 11 761.92 3836.08 18901.92 -10.69
80 309.30 44.04 1.74 0.58 0.04 142.08 12 4664.75 50846.25 219683.00 -13.35
81 713.92 43.96 1.84 0.61 0.09 162.43 12 148.58 1229.42 6287.00 -9.50
82 187.91 45.13 1.73 0.58 0.11 122.93 12 -22.00 826.00 2997.00 -8.69
83 395.79 46.31 1.84 0.61 0.15 0.43 13 108.33 910.67 4672.67 -9.17
84 851.27 46.04 1.76 0.59 0.17 167.24 12 303.00 1197.00 5510.00 -9.35
85 909.16 45.50 1.75 0.58 0.06 32.39 11 74.17 288.83 1611.17 -8.02
86 12.24 47.03 1.54 0.51 0.07 119.65 9 100.33 604.67 2118.00 -8.31
87 264.10 46.72 1.77 0.59 0.11 4.62 12 14.17 913.83 4193.00 -9.06
88 489.36 46.82 1.75 0.58 0.07 17.73 12 7062.08 56589.92 274863.00 -13.60
89 443.97 47.76 1.77 0.59 0.04 170.74 12 99.58 851.42 3694.00 -8.92
90 36.80 48.69 1.61 0.54 0.15 150.73 11 410.25 2376.75 9376.25 -9.93
91 171.17 49.04 1.79 0.60 0.19 82.44 12 -29.08 488.08 1906.00 -8.20
92 356.00 49.15 1.80 0.60 0.03 153.27 13 2788.67 31541.33 143214.33 -12.89
93 722.34 49.18 1.74 0.58 0.16 148.90 10 147.50 1725.50 7552.00 -9.70
94 585.97 50.91 1.84 0.61 0.12 175.71 12 19.25 369.75 1667.00 -8.05
95 656.83 50.87 1.86 0.62 0.03 117.69 12 54.42 939.58 4721.00 -9.19
96 617.12 52.17 1.84 0.61 0.07 153.83 13 265.67 2845.33 13036.33 -10.29
97 218.80 52.92 1.80 0.60 0.03 81.70 13 3624.75 43285.25 203973.25 -13.27
98 235.87 52.89 1.68 0.56 0.12 116.00 11 47.42 1178.58 4350.42 -9.10
99 598.97 52.75 1.78 0.59 0.14 152.22 12 175.75 2014.25 9084.00 -9.90
100 798.52 53.04 1.69 0.56 0.15 98.13 10 115.42 759.58 3699.83 -8.92
101 62.46 53.91 1.60 0.53 0.09 46.89 10 80.00 355.00 1350.00 -7.83
102 941.94 53.74 1.80 0.60 0.15 86.94 11 127.08 383.92 1722.08 -8.09
103 143.89 56.56 1.65 0.55 0.06 118.09 12 77.67 1351.33 5716.00 -9.39
104 515.88 56.90 1.87 0.62 0.12 179.56 13 409.75 3566.25 17175.25 -10.59
105 646.88 57.04 1.91 0.64 0.18 168.86 13 92.75 654.25 3795.25 -8.95
106 689.51 56.74 1.68 0.56 0.13 24.07 11 1013.50 5989.50 30894.50 -11.22
107 462.26 57.72 1.69 0.56 0.05 101.94 13 69.83 1073.17 4217.17 -9.06
108 71.01 58.70 1.69 0.56 0.05 125.50 13 308.58 5080.42 20305.42 -10.77
109 311.18 59.25 1.67 0.56 0.14 134.86 11 103.08 1065.92 4365.08 -9.10
110 159.87 59.83 1.79 0.60 0.03 79.57 13 2302.83 29103.17 133353.17 -12.81
111 280.92 60.35 1.72 0.57 0.05 100.24 12 353.58 3712.42 16202.00 -10.52
112 439.44 60.92 1.76 0.59 0.09 99.36 10 140.08 703.92 3624.17 -8.90
113 750.77 60.80 1.82 0.61 0.19 171.77 12 25.58 570.42 2919.00 -8.66
114 339.04 61.83 1.79 0.60 0.07 103.38 13 282.83 3347.17 14916.17 -10.43
115 550.69 61.66 1.80 0.60 0.06 142.19 12 675.58 5082.42 29263.00 -11.17
116 221.41 62.97 1.71 0.57 0.13 99.15 13 78.25 1514.75 6338.75 -9.51
117 781.51 62.95 1.70 0.57 0.05 118.15 10 67.58 475.42 2573.17 -8.53
118 196.76 65.31 1.75 0.58 0.15 101.96 12 36.42 772.58 3599.00 -8.89
119 504.72 64.98 1.80 0.60 0.05 142.07 13 27.75 988.25 4482.25 -9.13
120 923.23 65.34 1.79 0.60 0.15 143.74 11 3361.17 17333.83 87168.17 -12.35
121 389.66 65.63 1.73 0.58 0.05 136.55 11 341.67 2719.33 14060.67 -10.37
122 453.24 66.10 1.71 0.57 0.16 153.93 12 103.25 1835.75 7279.00 -9.66
123 697.46 65.73 1.64 0.55 0.18 3.22 9 296.25 1362.75 6286.75 -9.50
124 887.40 65.79 1.73 0.58 0.09 25.17 11 270.92 1647.08 8075.92 -9.77
125 101.16 66.91 1.56 0.52 0.02 43.63 8 5.08 395.92 1257.33 -7.75
126 144.67 67.36 1.67 0.56 0.05 58.62 11 5210.25 57430.75 270423.25 -13.58
127 593.22 66.66 1.71 0.57 0.06 6.48 11 680.08 6569.92 31005.08 -11.23
128 621.90 66.88 1.84 0.61 0.06 160.04 13 84.67 743.33 4586.33 -9.15
129 714.84 67.18 1.83 0.61 0.10 152.58 12 431.42 4130.58 20920.00 -10.80
130 730.21 67.15 1.90 0.63 0.06 161.48 12 84.75 559.25 2627.00 -8.55
131 962.51 66.86 1.67 0.56 0.08 2.45 11 263.25 1014.75 5110.25 -9.27
132 996.19 68.03 1.87 0.62 0.05 168.55 13 136.08 703.92 3176.92 -8.76
133 371.96 69.27 1.76 0.59 0.07 139.10 12 371.08 5586.92 23920.00 -10.95
134 264.30 69.82 1.68 0.56 0.04 142.55 12 443.08 5820.92 24415.00 -10.97
135 688.95 70.06 1.88 0.63 0.12 166.65 12 95.25 1014.75 5106.00 -9.27
136 243.66 71.24 1.79 0.60 0.10 64.26 10 0.33 520.67 2528.67 -8.51
137 109.78 71.60 1.76 0.59 0.03 87.31 12 222.00 2675.00 13279.00 -10.31
138 876.81 73.19 1.90 0.63 0.10 4.49 12 1125.08 5559.92 32134.00 -11.27
139 52.93 73.73 1.84 0.61 0.20 104.16 13 187.00 1707.00 7245.00 -9.65
140 317.24 74.15 1.69 0.56 0.18 128.03 11 133.75 2413.25 9094.75 -9.90
141 391.25 73.65 1.71 0.57 0.06 110.29 11 185.33 1511.67 6983.33 -9.61
142 557.83 73.87 1.73 0.58 0.17 160.32 12 5.83 517.17 1736.00 -8.10
143 186.07 75.01 1.84 0.61 0.17 142.83 13 93.42 1185.58 5434.58 -9.34
144 661.31 74.79 1.70 0.57 0.16 7.90 10 51.58 396.42 1645.17 -8.04
145 894.93 74.77 1.84 0.61 0.11 71.50 11 119.17 489.83 2385.17 -8.44
146 672.08 76.40 1.83 0.61 0.17 127.29 11 27.00 622.00 3547.00 -8.87
147 991.37 75.92 1.79 0.60 0.05 22.50 12 438.67 2497.33 12339.00 -10.23
148 214.32 76.86 1.69 0.56 0.02 123.78 12 8273.83 114272.17 480816.00 -14.20
149 282.43 77.25 1.65 0.55 0.12 135.18 11 155.25 1512.75 6612.25 -9.55
150 769.15 77.15 1.85 0.62 0.11 149.14 12 297.92 2189.08 10618.00 -10.07
151 951.07 77.15 1.87 0.62 0.06 168.73 13 481.50 2873.50 15074.50 -10.45
152 18.89 78.02 1.83 0.61 0.18 7.86 13 141.83 1445.17 5649.17 -9.38
153 248.87 78.23 1.63 0.54 0.14 133.58 10 181.67 881.33 3101.33 -8.73
154 969.47 78.23 1.75 0.58 0.09 106.60 11 234.83 906.17 4999.83 -9.25
155 92.38 79.28 1.66 0.55 0.11 130.32 11 801.75 9348.25 40829.75 -11.53
156 145.39 78.87 1.65 0.55 0.03 135.31 12 323.00 4291.00 18242.00 -10.65
157 158.80 79.08 1.90 0.63 0.07 95.97 13 58.33 826.67 4505.67 -9.13
158 573.46 78.72 1.71 0.57 0.13 32.00 11 6575.75 39536.25 212300.75 -13.32
159 271.12 80.39 1.79 0.60 0.02 40.91 12 92.17 865.83 3546.00 -8.87
160 933.02 80.10 1.87 0.62 0.11 154.41 13 91.75 820.25 4173.25 -9.05
161 29.98 81.05 1.93 0.64 0.11 132.76 12 36.00 416.00 1873.00 -8.18
162 262.50 81.28 1.51 0.50 0.08 54.84 9 387.17 1446.83 6430.50 -9.52
163 513.85 81.10 1.90 0.63 0.12 168.21 11 -34.42 310.42 1712.58 -8.08
164 941.48 81.97 1.71 0.57 0.15 170.97 10 475.92 1745.08 8240.83 -9.79
165 194.04 83.21 1.78 0.59 0.10 105.64 13 168.75 2022.25 8497.25 -9.82
166 345.82 83.10 1.78 0.59 0.08 157.45 11 11.92 770.08 3602.92 -8.89
167 317.69 84.23 1.58 0.53 0.04 59.21 10 129.00 524.00 2211.00 -8.36
168 415.02 84.67 1.75 0.58 0.06 87.83 13 262.75 2463.25 11719.25 -10.17
169 436.22 84.71 1.71 0.57 0.15 75.00 11 101.50 862.50 3818.50 -8.95
170 599.34 85.06 1.80 0.60 0.12 122.53 11 13.75 436.25 2155.75 -8.33
171 79.14 85.70 1.69 0.56 0.03 72.46 11 112.25 1720.75 7293.25 -9.66
172 224.25 86.06 1.77 0.59 0.17 156.11 12 55.50 1372.50 5804.00 -9.41
173 177.13 87.32 1.59 0.53 0.11 7.06 11 -1.17 470.17 1634.83 -8.03
174 213.09 88.40 1.68 0.56 0.12 130.81 12 2519.50 35400.50 148610.00 -12.93
175 272.91 88.07 1.75 0.58 0.11 137.55 12 61.08 1070.92 3868.00 -8.97
176 309.19 88.26 1.70 0.57 0.14 114.82 12 168.92 2127.08 8407.00 -9.81
177 663.34 87.74 1.74 0.58 0.13 23.49 11 132.17 1130.83 5265.17 -9.30
178 68.76 88.80 1.71 0.57 0.08 137.41 13 67.25 1869.75 7599.75 -9.70
179 140.30 89.94 1.66 0.55 0.08 145.83 11 139.67 1903.33 6917.67 -9.60
180 167.25 89.72 1.67 0.56 0.13 134.06 11 85.50 1117.50 4958.50 -9.24
181 471.11 89.69 1.81 0.60 0.03 149.24 13 119.33 1658.67 8084.67 -9.77
182 797.07 90.32 1.81 0.60 0.14 146.21 12 658.67 5163.33 25630.00 -11.02
183 12.20 91.31 1.66 0.55 0.17 111.77 12 138.42 1519.58 5794.00 -9.41
184 98.85 92.26 1.69 0.56 0.06 132.55 11 140.58 2642.42 10046.58 -10.01
185 327.71 92.31 1.71 0.57 0.12 135.93 13 61.67 1307.33 5717.33 -9.39
186 493.32 91.91 1.72 0.57 0.19 149.48 12 59.50 761.50 3367.00 -8.82
187 113.53 92.89 1.66 0.55 0.15 148.76 11 8.00 377.00 1550.00 -7.98
188 232.25 92.88 1.66 0.55 0.09 138.44 12 1084.75 18115.25 67879.00 -12.08
189 706.08 93.30 1.78 0.59 0.16 142.38 12 371.00 3821.00 17947.00 -10.63
190 769.22 92.96 1.79 0.60 0.14 178.74 11 6.17 761.83 3576.17 -8.88
191 571.33 94.00 1.77 0.59 0.07 166.01 12 1685.75 14195.25 67458.00 -12.07
192 758.95 93.84 1.93 0.64 0.18 1.86 13 142.50 1350.50 7114.50 -9.63
193 585.78 96.14 1.88 0.63 0.05 15.94 13 41831.67 294207.33 1667195.33 -15.55
194 477.55 97.13 1.71 0.57 0.19 155.36 10 49.92 455.08 1722.83 -8.09
195 638.10 97.11 1.82 0.61 0.19 158.43 11 -9.17 465.17 2182.83 -8.35
196 127.94 98.33 1.68 0.56 0.17 71.96 12 121.08 827.92 3238.00 -8.78
197 307.36 97.86 1.69 0.56 0.11 157.60 12 150.00 2249.00 9536.00 -9.95
198 728.79 97.65 1.87 0.62 0.17 175.43 12 216.75 1105.25 6845.00 -9.59
199 990.01 97.88 1.83 0.61 0.06 36.80 13 635.08 3042.92 14926.92 -10.43
200 559.23 98.90 1.73 0.58 0.07 154.62 12 398.92 3879.08 16417.00 -10.54
201 930.21 99.03 1.86 0.62 0.08 7.55 12 13.75 510.25 2382.00 -8.44
202 276.20 101.01 1.75 0.58 0.03 131.44 12 1984.75 26409.25 110109.00 -12.60
203 427.84 101.14 1.89 0.63 0.08 126.37 12 90.25 614.75 3023.00 -8.70
204 69.07 102.21 1.76 0.59 0.09 137.46 13 108.75 2189.25 8672.25 -9.85
205 155.27 101.81 1.70 0.57 0.02 77.62 12 58.33 1094.67 4454.00 -9.12
206 196.19 102.30 1.74 0.58 0.15 133.47 11 167.33 2136.67 8995.33 -9.89
207 646.38 101.64 1.68 0.56 0.05 96.05 11 67.50 845.50 4085.50 -9.03
208 719.77 102.00 1.82 0.61 0.09 152.17 13 118.83 1568.17 8067.17 -9.77
209 867.77 101.78 1.88 0.63 0.07 179.63 13 2684.67 15439.33 90828.33 -12.40
210 28.23 103.32 1.65 0.55 0.14 123.16 10 146.33 1245.67 4774.67 -9.20
211 838.46 103.34 1.74 0.58 0.20 146.65 10 1011.08 5073.92 27616.17 -11.10
212 265.80 104.19 1.76 0.59 0.18 7.63 12 67.92 659.08 2999.00 -8.69
213 454.98 103.97 1.81 0.60 0.04 156.36 13 724.75 6980.25 30458.25 -11.21
214 946.23 103.93 1.75 0.58 0.17 115.22 11 240.67 1030.33 4950.67 -9.24
215 247.77 105.37 1.72 0.57 0.11 63.61 11 135.17 661.83 3059.17 -8.71
216 312.15 105.08 1.74 0.58 0.08 143.61 12 236.58 3873.42 15710.00 -10.49
217 339.77 104.75 1.73 0.58 0.11 126.10 12 158.00 1724.00 7878.00 -9.74
218 414.26 105.35 1.70 0.57 0.17 138.46 10 192.83 1587.17 7083.67 -9.63
219 565.14 105.39 1.71 0.57 0.19 136.79 11 447.75 4448.25 20566.75 -10.78
220 660.98 104.68 1.83 0.61 0.04 12.41 12 2102.58 16401.42 88526.00 -12.37
221 825.05 105.35 1.79 0.60 0.16 149.42 12 1483.33 10836.67 53327.00 -11.82
222 909.94 105.30 1.55 0.52 0.19 147.02 10 -6.00 408.00 1489.00 -7.93
223 95.11 107.99 1.84 0.61 0.12 155.82 13 46.67 1240.33 5389.33 -9.33
224 476.64 109.38 1.56 0.52 0.16 150.93 10 39.33 429.67 1897.67 -8.20
225 896.06 109.11 1.81 0.60 0.11 163.29 12 544.33 2814.67 13536.00 -10.33
226 972.18 109.09 1.90 0.63 0.16 0.88 11 117.42 463.58 2005.42 -8.26
227 370.66 109.93 1.60 0.53 0.10 48.98 10 25.08 472.92 1947.17 -8.22
228 169.03 111.39 1.65 0.55 0.12 158.34 11 51.83 1006.17 3616.83 -8.90
229 351.02 112.02 1.86 0.62 0.11 142.21 12 11.67 493.33 2136.00 -8.32
230 794.02 111.92 1.90 0.63 0.06 6.32 12 58.83 562.17 3122.00 -8.74
231 55.13 112.50 1.64 0.55 0.18 79.15 9 165.67 1223.33 5070.00 -9.26
232 146.31 113.28 1.76 0.59 0.14 113.12 12 79.67 1122.33 5376.00 -9.33
233 573.27 113.20 1.77 0.59 0.12 139.64 12 264.75 3123.25 14369.00 -10.39
234 675.48 112.90 1.71 0.57 0.16 137.57 10 133.08 913.92 4324.17 -9.09
235 927.42 113.00 1.56 0.52 0.07 64.80 8 43.67 356.33 1429.67 -7.89
236 422.33 114.17 1.73 0.58 0.16 146.93 12 56.25 1332.75 5875.00 -9.42
237 739.99 114.15 1.84 0.61 0.11 140.03 13 3.75 586.25 2862.25 -8.64
238 240.64 115.35 1.66 0.55 0.13 16.07 11 10.75 732.25 3649.75 -8.91
239 784.55 114.84 1.59 0.53 0.12 170.62 9 59.33 609.67 2632.00 -8.55
240 30.31 116.03 1.66 0.55 0.05 132.39 12 181.33 2843.67 11518.00 -10.15
241 485.18 115.65 1.73 0.58 0.05 135.75 11 324.58 3281.42 15082.58 -10.45
242 583.38 116.09 1.70 0.57 0.09 160.76 11 201.75 1856.25 8196.75 -9.78
243 308.99 117.39 1.67 0.56 0.16 138.84 12 146.08 2404.92 10281.00 -10.03
244 366.88 116.98 1.79 0.60 0.18 116.74 13 53.58 797.42 3233.42 -8.77
245 804.30 117.21 1.80 0.60 0.13 151.46 11 2392.58 14531.42 71716.58 -12.14
246 817.05 116.72 1.76 0.59 0.05 124.18 12 8.00 476.00 2006.00 -8.26
247 624.32 117.84 1.72 0.57 0.11 151.15 9 15.42 443.58 1831.25 -8.16
248 71.82 118.89 1.78 0.59 0.03 78.35 13 4300.33 56442.67 256378.67 -13.52
249 270.79 118.87 1.72 0.57 0.03 142.44 12 274.75 3719.25 16214.00 -10.52
250 440.42 119.01 1.70 0.57 0.12 150.98 10 50.08 792.92 3771.17 -8.94
251 297.23 119.55 1.64 0.55 0.05 82.19 11 208.67 1074.33 4831.67 -9.21
252 662.21 119.66 1.86 0.62 0.13 49.42 12 63.00 598.00 3101.00 -8.73
253 42.50 120.60 1.60 0.53 0.03 25.62 11 104.00 910.00 4092.00 -9.03
254 80.59 120.96 1.85 0.62 0.18 104.60 11 86.92 460.08 2327.92 -8.42
255 221.10 121.00 1.79 0.60 0.19 127.88 12 54.17 929.83 3989.00 -9.00
256 316.92 121.26 1.51 0.50 0.12 154.95 8 353.92 1123.08 3717.67 -8.93
257 339.05 120.82 1.80 0.60 0.20 102.10 12 59.83 1106.17 4426.00 -9.12
258 534.95 120.82 1.86 0.62 0.07 150.37 12 28.25 439.75 2361.00 -8.43
259 641.26 122.15 1.90 0.63 0.11 14.04 12 15.33 499.67 2583.00 -8.53
260 754.41 121.95 1.76 0.59 0.10 1.83 11 940.25 5573.75 28169.25 -11.12
261 1005.09 122.24 1.87 0.62 0.19 139.45 11 88.00 300.00 1862.00 -8.17
262 525.99 123.24 1.75 0.58 0.19 117.84 12 20.92 644.08 3048.00 -8.71
263 612.06 122.62 1.90 0.63 0.11 102.67 11 68.33 465.67 2425.33 -8.46
264 395.17 124.12 1.77 0.59 0.06 144.12 13 8682.67 98039.33 427028.33 -14.08
265 879.23 123.76 1.82 0.61 0.09 47.82 11 223.08 1365.92 7034.08 -9.62
266 462.76 124.79 1.81 0.60 0.09 134.90 12 5.92 754.08 3288.00 -8.79
267 745.36 124.67 1.74 0.58 0.15 29.95 11 406.17 2546.83 13628.17 -10.34
268 776.02 124.84 1.92 0.64 0.06 21.18 13 459.75 3371.25 18504.25 -10.67
269 589.10 126.48 1.75 0.58 0.10 150.27 11 498.17 2408.83 12213.17 -10.22
270 144.23 127.08 1.74 0.58 0.11 113.54 13 7.67 820.33 3197.33 -8.76
271 204.90 126.94 1.63 0.54 0.14 10.08 10 510.00 1775.00 5666.00 -9.38
272 858.79 127.29 1.86 0.62 0.18 1.47 12 66.08 532.92 2555.00 -8.52
273 870.27 127.15 1.80 0.60 0.10 155.67 11 1436.42 9127.58 44376.42 -11.62
274 930.44 127.06 1.72 0.57 0.11 153.45 11 849.83 5795.17 27052.83 -11.08
275 187.83 128.82 1.73 0.58 0.15 98.45 12 176.58 1930.42 7707.00 -9.72
276 366.83 129.30 1.72 0.57 0.13 129.58 11 121.00 2154.00 9351.00 -9.93
277 507.43 128.61 1.62 0.54 0.10 29.80 10 205.08 1591.92 7758.17 -9.72
278 705.05 129.02 1.88 0.63 0.11 166.60 13 146.25 1815.75 9042.75 -9.89
279 104.97 130.39 1.67 0.56 0.08 136.25 12 503.83 7642.17 30446.00 -11.21
280 380.26 130.19 1.73 0.58 0.16 141.52 12 182.58 2887.42 11543.00 -10.16
281 729.48 130.13 1.70 0.57 0.19 159.65 9 112.58 780.42 3960.75 -8.99
282 346.99 130.88 1.65 0.55 0.03 58.46 11 -1.58 612.58 2334.42 -8.42
283 553.11 130.96 1.81 0.60 0.05 175.02 13 422.75 4111.25 19265.25 -10.71
284 965.30 130.74 1.80 0.60 0.15 31.14 11 767.50 3635.50 19243.50 -10.71
285 23.11 132.29 1.65 0.55 0.10 132.21 12 75.08 1530.92 5316.00 -9.31
286 840.19 131.81 1.90 0.63 0.17 166.43 13 21.67 435.33 2035.33 -8.27
287 258.75 132.92 1.75 0.58 0.12 143.53 12 52.33 1314.67 5366.00 -9.32
288 414.82 132.81 1.76 0.59 0.16 159.97 12 263.92 2434.08 10940.00 -10.10
289 956.88 132.83 1.97 0.66 0.11 56.25 13 1194.33 4282.67 27148.67 -11.08
290 431.11 133.62 1.75 0.58 0.07 54.12 11 1765.50 12906.50 62595.50 -11.99
291 541.13 133.74 1.99 0.66 0.14 70.82 11 43.17 539.83 3187.17 -8.76
292 574.86 134.12 1.70 0.57 0.05 33.57 12 57.17 565.83 2439.00 -8.47
293 817.20 133.77 1.98 0.66 0.08 175.14 13 27.50 391.50 2503.50 -8.50
294 921.32 133.64 1.78 0.59 0.17 30.00 11 770.50 3923.50 21364.50 -10.82
295 213.89 135.42 1.64 0.55 0.12 135.87 12 656.00 8821.00 36554.00 -11.41
296 608.76 135.33 1.76 0.59 0.10 148.54 12 393.08 2714.92 14868.00 -10.43
297 36.66 136.12 1.66 0.55 0.02 54.16 11 123.67 2004.33 8253.67 -9.79
